TIMESTAMP,P_F
2000-01-01 00:00,697.401
2001-01-01 00:00,491.644
2002-01-01 00:00,516.493
2003-01-01 00:00,502.466
2004-01-01 00:00,487.601
2005-01-01 00:00,794.668
2006-01-01 00:00,737.108
2007-01-01 00:00,390.398
2008-01-01 00:00,376.932
2009-01-01 00:00,547.116
2010-01-01 00:00,706.028
2011-01-01 00:00,684.02
2012-01-01 00:00,804.672
2013-01-01 00:00,202.172
2014-01-01 00:00,645.926
