TIMESTAMP,P_ERA
2002-01-01 00:00,495.325
2003-01-01 00:00,511.832
2004-01-01 00:00,509.31
2005-01-01 00:00,751.8
2006-01-01 00:00,714.602
2007-01-01 00:00,354.647
2008-01-01 00:00,509.341
2009-01-01 00:00,511.58
2010-01-01 00:00,935.362
2011-01-01 00:00,604.721
2012-01-01 00:00,716.532
2013-01-01 00:00,164.241
2014-01-01 00:00,513.297
